First Name---Last Name---Age---Height---Tuition---Date---Phone---Conduct
[ Luana---Rayos---22---1.61---2500.0---01/01/2018---1234567---Good ]
[ Angele---Grizzard---23---1.62---2500.0---31/12/2017---2345678---Good ]
[ Sallie---Mcquillan---24---1.63---2500.0---30/12/2017---3456789---Good ]
[ Louella---Cobbs---25---1.64---2500.0---29/12/2017---4567900---Good ]
[ Walton---Shuster---26---1.65---2500.0---28/12/2017---5679011---Good ]
[ Teofila---Tiemann---27---1.66---2500.0---27/12/2017---6790122---Good ]
[ Leonarda---Condie---28---1.67---2500.0---26/12/2017---7901233---Good ]
[ Lemuel---Peil---29---1.68---2500.0---25/12/2017---9012344---Good ]
[ Georgiann---Lenox---30---1.69---2500.0---24/12/2017---10123455---Good ]
[ Colby---Montesano---31---1.7---2500.0---23/12/2017---11234566---Good ]
[ Rudy---Rochester---32---1.71---2500.0---22/12/2017---12345677---Good ]
[ Lupe---Edmiston---33---1.72---2500.0---21/12/2017---13456788---Good ]
[ Romaine---Mcshane---34---1.73---2500.0---20/12/2017---14567899---Good ]
[ Divina---Strong---35---1.74---2500.0---19/12/2017---15679010---Good ]
[ Brett---Mccaul---36---1.75---2500.0---18/12/2017---16790121---Good ]
[ Janey---Moyes---37---1.76---2500.0---17/12/2017---17901232---Good ]
[ Rosie---Dundas---38---1.77---2500.0---16/12/2017---19012343---Good ]
[ Maddie---Holoman---39---1.78---2500.0---15/12/2017---20123454---Good ]
[ Latrice---Gilpatrick---40---1.79---2500.0---14/12/2017---21234565---Good ]
[ Ewa---Percell---41---1.8---2500.0---13/12/2017---22345676---Good ]
[ Gertude---Alas---42---1.81---2500.0---12/12/2017---23456787---Good ]
[ Earlie---Mcadam---43---1.82---2500.0---11/12/2017---24567898---Good ]
[ Lu---Ostrom---44---1.83---2500.0---10/12/2017---25679009---Good ]
[ Flora---Popek---45---1.84---2500.0---09/12/2017---26790120---Good ]
[ Khadijah---Ellingson---46---1.85---2500.0---08/12/2017---27901231---Good ]
[ Mariela---Mckinzie---47---1.86---2500.0---07/12/2017---29012342---Good ]
[ Stevie---Blevins---48---1.87---2500.0---06/12/2017---30123453---Good ]
[ Roslyn---Edmund---49---1.88---2500.0---05/12/2017---31234564---Good ]
[ Mercedez---Recore---50---1.89---2500.0---04/12/2017---32345675---Good ]
[ Renna---Dahmen---51---1.9---2500.0---03/12/2017---33456786---Good ]
[ Janet---Mattews---52---1.91---2500.0---02/12/2017---34567897---Good ]
[ Christal---Stanley---53---1.92---2500.0---01/12/2017---35679008---Good ]
[ Reva---Schmucker---54---1.93---2500.0---30/11/2017---36790119---Good ]
[ Robbin---Raap---55---1.94---2500.0---29/11/2017---37901230---Good ]
[ Sherika---Winter---56---1.95---2500.0---28/11/2017---39012341---Good ]
[ Alesia---Bean---57---1.96---2500.0---27/11/2017---40123452---Excellent ]
[ Margarett---Milburn---58---1.97---2500.0---26/11/2017---41234563---Good ]
[ Elyse---Shimizu---59---1.98---2500.0---25/11/2017---42345674---Good ]
[ Laree---Clinton---60---1.99---2500.0---24/11/2017---43456785---Good ]
[ Meryl---Nygren---61---2.0---2500.0---23/11/2017---44567896---Good ]
[ Angelena---Zale---62---2.01---2500.0---22/11/2017---45679007---Good ]
[ Mui---Boerner---63---2.02---2500.0---21/11/2017---46790118---Good ]
[ Tiny---Trunzo---64---2.03---2500.0---20/11/2017---47901229---Good ]
[ Lyla---Stanger---65---2.04---2500.0---19/11/2017---49012340---Good ]
[ Stepanie---Riffle---66---2.05---2500.0---18/11/2017---50123451---Good ]
[ Andree---Fleitas---67---2.06---2500.0---17/11/2017---51234562---Good ]
[ Digna---Eckman---68---2.07---2500.0---16/11/2017---52345673---Good ]
[ Margorie---Wehling---69---2.08---2500.0---15/11/2017---53456784---Good ]
[ Fannie---Baumbach---70---2.09---2500.0---14/11/2017---54567895---Good ]
[ Thuy---Sippel---71---2.1---2500.0---13/11/2017---55679006---Good ]
